3583004 182038 91861 5.1% 2.6% 185416 94753 0.4%  17 2
4097896 313114 157396 7.6% 3.8% 316493 160285 0.7%  17 3
6153499 575260 288469 9.3% 4.7% 578640 291357 0.8%  17 4
8712456 1099555 550645 12.6% 6.3% 1102928 553545 1.1%  17 5
15439847 2148124 1878710 13.9% 12.2% 2151498 1881873 2.2%  17 6
28027952 4245299 4238039 15.1% 15.1% 4248670 4241203 2.8%  17 7
53060580 8439630 8432429 15.9% 15.9% 8443005 8435595 3.0%  17 8
103363184 16828308 16821102 16.3% 16.3% 16831678 16824269 3.0%  17 9
203737092 33605653 33598448 16.5% 16.5% 33609027 33601614 3.1%  17 10
405726984 69741213 67153145 17.2% 16.6% 69744595 67156315 3.1%  17 11
807784352 201884981 134262518 25.0% 16.6% 201888358 134265685 3.1%  17 12
789985 17040 9695 2.2% 1.2% 19395 11938 0.4%  17 14
1182454 37692 30294 3.2% 2.6% 40101 32583 0.5%  17 15
1098572 41788 34390 3.8% 3.1% 44197 36679 0.7%  17 16
1077860 51736 43432 4.8% 4.0% 54147 45723 0.9%  17 17
